1.0.0	ACT I
3.1.24	The archdeacon hath divided it Into three limits very equally: England, from Trent and Severn hitherto, By south and east is to my part assign'd: All westward, Wales beyond the Severn shore, And all the fertile land within that bound, To Owen Glendower: and, dear coz, to you The remnant northward, lying off from Trent. And our indentures tripartite are drawn; Which being sealed interchangeably, A business that this night may execute, To-morrow, cousin Percy, you and I And my good Lord of Worcester will set forth To meet your father and the Scottish power, As is appointed us, at Shrewsbury. My father Glendower is not ready yet, Nor shall we need his help these fourteen days. Within that space you may have drawn together Your tenants, friends and neighbouring gentlemen.
3.1.25	A shorter time shall send me to you, lords: And in my conduct shall your ladies come; From whom you now must steal and take no leave, For there will be a world of water shed Upon the parting of your wives and you.
3.1.26	Methinks my moiety, north from Burton here, In quantity equals not one of yours: See how this river comes me cranking in, And cuts me from the best of all my land A huge half-moon, a monstrous cantle out. I'll have the current in this place damned up; And here the smug and silver Trent shall run In a new channel, fair and evenly; It shall not wind with such a deep indent, To rob me of so rich a bottom here.
3.1.27	Not wind? it shall, it must; you see it doth.
3.1.28	Yea, but Mark how he bears his course, and runs me up With like advantage on the other side; Gelding the opposed continent as much As on the other side it takes from you.
3.1.29	Yea, but a little charge will trench him here And on this north side win this cape of land; And then he runs straight and even.
3.1.30	I'll have it so: a little charge will do it.
3.1.31	I'll not have it alter'd.
3.1.32	Will not you?
3.1.33	No, nor you shall not.
3.1.34	Who shall say me nay?
3.1.35	Why, that will I.
3.1.36	Let me not understand you, then; speak it in Welsh.
3.1.37	I can speak English, lord, as well as you; For I was train'd up in the English court; Where, being but young, I framed to the harp Many an English ditty lovely well And gave the tongue a helpful ornament, A virtue that was never seen in you.
3.1.38	Marry, And I am glad of it with all my heart: I had rather be a kitten and cry mew Than one of these same metre ballad-mongers; I had rather hear a brazen canstick turn'd, Or a dry wheel grate on the axle-tree; And that would set my teeth nothing on edge, Nothing so much as mincing poetry: 'Tis like the forced gait of a shuffling nag.
3.1.39	Come, you shall have Trent turn'd.
3.1.40	I do not care: I'll give thrice so much land To any well-deserving friend; But in the way of bargain, mark ye me, I'll cavil on the ninth part of a hair. Are the indentures drawn? shall we be gone?
3.1.41	The moon shines fair; you may away by night: I'll haste the writer and withal Break with your wives of your departure hence: I am afraid my daughter will run mad, So much she doteth on her Mortimer. [Ex]it.
3.1.42	Fie, cousin Percy! how you cross my father!
3.1.43	I cannot choose: sometime he angers me With telling me of the moldwarp and the ant, Of the dreamer Merlin and his prophecies, And of a dragon and a finless fish, A clip-wing'd griffin and a moulten raven, A couching lion and a ramping cat, And such a deal of skimble-skamble stuff As puts me from my faith. I tell you what; He held me last night at least nine hours In reckoning up the several devils' names That were his lackeys: I cried 'hum,' and 'well, go to,' But mark'd him not a word. O, he is as tedious As a tired horse, a railing wife; Worse than a smoky house: I had rather live With cheese and garlic in a windmill, far, Than feed on cates and have him talk to me In any summer-house in Christendom.
3.1.44	In faith, he is a worthy gentleman, Exceedingly well read, and profited In strange concealments, valiant as a lion And wondrous affable and as bountiful As mines of India. Shall I tell you, cousin? He holds your temper in a high respect And curbs himself even of his natural scope When you come 'cross his humour; faith, he does: I warrant you, that man is not alive Might so have tempted him as you have done, Without the taste of danger and reproof: But do not use it oft, let me entreat you.
3.1.45	In faith, my lord, you are too wilful-blame; And since your coming hither have done enough To put him quite beside his patience. You must needs learn, lord, to amend this fault: Though sometimes it show greatness, courage, blood,— And that's the dearest grace it renders you,— Yet oftentimes it doth present harsh rage, Defect of manners, want of government, Pride, haughtiness, opinion and disdain: The least of which haunting a nobleman Loseth men's hearts and leaves behind a stain Upon the beauty of all parts besides, Beguiling them of commendation.
3.1.46	Well, I am school'd: good manners be your speed! Here come our wives, and let us take our leave. Re-enter GLENDOWER with the ladies.
3.1.47	This is the deadly spite that angers me; My wife can speak no English, I no Welsh.
3.1.48	My daughter weeps: she will not part with you; She'll be a soldier too, she'll to the wars.
3.1.49	Good father, tell her that she and my aunt Percy Shall follow in your conduct speedily. [Glendower speaks to her in Welsh, and she answers him in the same.
3.1.50	She is desperate here; a peevish self-will'd harlotry, one that no persuasion can do good upon. [The lady speaks in Welsh.
3.1.51	I understand thy looks: that pretty Welsh Which thou pour'st down from these swelling heavens I am too perfect in; and, but for shame, In such a parley should I answer thee. [The lady speaks again in Welsh. I understand thy kisses and thou mine, And that's a feeling disputation: But I will never be a truant, love, Till I have learn'd thy language; for thy tongue Makes Welsh as sweet as ditties highly penn'd, Sung by a fair queen in a summer's bower. With ravishing division, to her lute.
3.1.52	Nay, if you melt, then will she run mad. [The lady speaks again in Welsh.
3.1.53	O, I am ignorance itself in this!
3.1.54	She bids you on the wanton rushes lay you down And rest your gentle head upon her lap, And she will sing the song that pleaseth you And on your eyelids crown the god of sleep, Charming your blood with pleasing heaviness, Making the difference 'twixt wake and sleep As is the difference betwixt day and night The hour before the heavenly-harness'd team Beg'ns his golden progress in the east.
3.1.55	With all my heart I'll sit and hear her sing: By that time will our book, I think, be drawn.
3.1.56	Do so; And those musicians that shall play to you Hang in the air a thousand leagues from hence, And straight they shall be here: sit, and attend.
3.1.57	Come, Kate, thou art perfect in lying down: come, quick, quick, that I may lay my head in thy lap.
3.1.58	Go, ye giddy goose. [The music plays.
3.1.59	Now I perceive the devil understands Welsh; And 'tis no marvel he is so humorous. By 'r lady, he is a good musician.
3.1.60	Then should you be nothing but musical, for you are altogether governed by humours. Lie still, ye thief, and hear the lady sing in Welsh.
3.1.61	I had rather hear Lady, my brach, howl in Irish.
3.1.62	Wouldst thou have thy head broken?
3.1.63	No.
3.1.64	Then be still.
3.1.65	Neither; 'tis a woman's fault.
3.1.66	Now God help thee!
3.1.67	To the Welsh lady's bed.
3.1.68	What's that?
3.1.69	Peace! she sings. [Here the lady sings a Welsh song.
3.1.70	Come, Kate, I'll have your song too.
3.1.71	Not mine, in good sooth.
3.1.72	Not yours; in good sooth! Heart! you swear like a comfit-maker's wife. 'Not you, in good sooth,' and 'as true as I live,' and 'as God shall mend me,' and 'as sure as day,' And givest such sarcenet surety for thy oaths, As if thou never walk'st further than Finsbury. Swear me, Kate, like a lady as thou art, A good mouth-filling oath, and leave 'in sooth,' And such protest of pepper-gingerbread, To velvet-guards and Sunday-citizens. Come, sing.
3.1.73	I will not sing.
3.1.74	'Tis the next way to turn tailor, or be red-breast teacher. An the indentures be drawn, I'll away within these two hours; and so come in when ye will. [Ex]it.
3.1.75	Come, come, Lord Mortimer; you are as slow As hot Lord Percy is on fire to go. By this our book is drawn; we'll but seal, And then to horse immediately.
3.1.76	With all my heart. [Ex]eunt.
3.2.1	London. The palace.
3.2.2	Enter the KING, PRINCE OF WALES, and others.
3.2.3	Lords, give us leave; the Prince of Wales and I Must have some private conference: but be near at hand, For we shall presently have need of you. [Ex]eunt Lords. I know not whether God will have it so, For some displeasing service I have done, That, in his secret doom, out of my blood He'll breed revengement and a scourge for me; But thou dost in thy passages of life Make me believe that thou art only mark'd For the hot vengeance and the rod of heaven To punish my mistreadings. Tell me else, Could such inordinate and low desires, Such poor, such bare, such lewd, such mean attempts, Such barren pleasures, rude society, As thou art match'd withal and grafted to, Accompany the greatness of thy blood And hold their level with thy princely heart?
3.2.4	So please your majesty, I would I could Quit all offences with as clear excuse As well as I am doubtless I can purge Myself of many I am charged withal: Yet such extenuation let me beg, As, in reproof of many tales devised, By smiling pick-thanks and base newsmongers, Which oft the ear of greatness needs must hear, I may, for some things true, wherein my youth Hath faulty wander'd and irregular, Find pardon on my true submission.
3.2.5	God pardon thee; yet let me wonder, Harry, At thy affections, which do hold a wing Quite from the flight of all thy ancestors. Thy place in council thou hast rudely lost, Which by thy younger brother is supplied, And art almost an alien to the hearts Of all the court and princes of my blood: The hope and expectation of thy time Is ruin'd, and the soul of every man Prophetically doth forethink thy fall. Had I so lavish of my presence been, So common-hackney'd in the eyes of men, So stale and cheap to vulgar company, Opinion, that did help me to the crown, Had still kept loyal to possession And left me in reputeless banishment, A fellow of no mark nor likelihood. By being seldom seen, I could not stir But like a comet I was wonder'd at; That men would tell their children 'This is he;' Others would say 'Where, which is Bolingbroke?' And then I stole all courtesy from heaven, And dress'd myself in such humility That I did pluck allegiance from men's hearts, Loud shouts and salutations from their mouths, Even in the presence of the crowned king. Thus did I keep my person fresh and new; My presence, like a robe pontifical, Ne'er seen but wonder'd at: and so my state, Seldom but sumptuous, showed like a feast And won by rareness such solemnity. The skipping king, he ambled up and down With shallow jesters and rash bavin wits, Soon kindled and soon burnt; carded his state, Mingled his royalty with capering fools, Had his great name profaned with their scorns And gave his countenance, against his name, To laugh at gibing boys and stand the push Of every beardless vain comparative, Grew a companion to the common streets, Enfeoff'd himself to popularity; That, being daily swallow'd by men's eyes, They surfeited with honey and began To loathe the taste of sweetness, whereof a little More than a little is by much too much. So when he had occasion to be seen, He was but as the cuckoo is in June, Heard, not regarded; seen, but with such eyes As, sick and blunted with community, Afford no extraordinary gaze, Such as is bent on sun-like majesty When it shines seldom in admiring eyes; But rather drowsed and hung their eyelids down, Slept in his face and render'd such aspect As cloudy men use to their adversaries, Being with his presence glutted, gorged and full. And in that very line, Harry, standest thou; For thou hast lost thy princely privilege With vile participation: not an eye But is a-weary of thy common sight, Save mine, which hath desired to see thee more; Which now doth that I would not have it do, Make blind itself with foolish tenderness.
3.2.6	I shall hereafter, my thrice gracious lord, Be more myself.
3.2.7	For all the world As thou art to this hour was Richard then When I from France set foot at Ravenspurgh, And even as I was then is Percy now. Now, by my sceptre and my soul to boot, He hath more worthy interest to the state Than thou the shadow of succession; For of no right, nor colour like to right, He doth fill fields with harness in the realm, Turns head against the lion's armed jaws, And, being no more in debt to years than thou, Leads ancient lords and reverend bishops on To bloody battles and to bruising arms. What never-dying honour hath he got Against renowned Douglas! whose high deeds, Whose hot incursions and great name in arms Holds from all soldiers chief majority And military title capital Through all the kingdoms that acknowledge Christ: Thrice hath this Hotspur, Mars in swathling clothes, This infant warrior, in his enterprizes Discomfited great Douglas, ta'en him once, Enlarged him and made a friend of him, To fill the mouth of deep defiance up And shake the peace and safety of our throne. And what say you to this? Percy, Northumberland, The Archbishop's grace of York, Douglas, Mortimer, Capitulate against us and are up. But wherefore do I tell these news to thee? Why, Harry, do I tell thee of my foes, Which art my near'st and dearest enemy? Thou that art like enough, through vassal fear, Base inclination and the start of spleen, To fight against me under Percy's pay, To dog his heels and curtsy at his frowns, To show how much thou art degenerate.
3.2.8	Do not think so; you shall not find it so: And God forgive them that so much have sway'd Your majesty's good thoughts away from me! I will redeem all this on Percy's head And in the closing of some glorious day Be bold to tell you that I am your son; When I will wear a garment all of blood And stain my favours in a bloody mask, Which, wash'd away, shall scour my shame with it: And that shall be the day, whene'er it lights, That this same child of honour and renown, This gallant Hotspur, this all-praised knight, And your unthought-of Harry chance to meet. For every honour sitting on his helm, Would they were multitudes, and on my head My shames redoubled! for the time will come, That I shall make this northern youth exchange His glorious deeds for my indignities. Percy is but my factor, good my lord, To engross up glorious deeds on my behalf; And I will call him to so strict account, That he shall render every glory up, Yea, even the slightest worship of his time, Or I will tear the reckoning from his heart. This, in the name of God, I promise here: The which if He be pleased I shall perform, I do beseech your majesty may salve The long-grown wounds of my intemperance: If not, the end of life cancels all bands; And I will die a hundred thousand deaths Ere break the smallest parcel of this vow.
3.2.9	A hundred thousand rebels die in this: Thou shalt have charge and sovereign trust herein. Enter BLUNT. How now, good Blunt? thy looks are full of speed.
3.2.10	So hath the business that I come to speak of. Lord Mortimer of Scotland hath sent word That Douglas and the English rebels met The eleventh of this month at Shrewsbury: A mighty and a fearful head they are, If promises be kept on every hand, As ever offer'd foul play in a state.
3.2.11	The Earl of Westmoreland set forth to-day; With him my son, Lord John of Lancaster; For ths advertisement is five days old: On Wednesday next, Harry, you shall set forward; On Thursday we ourselves will march: our meeting Is Bridgenorth: and, Harry, you shall march Through Gloucestershire; by which account, Our business valued, some twelve days hence Our general forces at Bridgenorth shall meet. Our hands are full of business: let's away; Advantage feeds him fat, while men delay. [Ex]eunt.
3.3.1	Eastcheap. The Boar's-Head Tavern.
3.3.2	Enter FALSTAFF and BARDOLPH.
3.3.3	Bardolph, am I not fallen away vilely since this last action? do I not bate? do I not dwindle? why, my skin hangs about me like an old lady's loose gown; I am withered like an old apple-john. Well, I'll repent, and that suddenly, while I am in some liking; I shall be out of heart shortly, and then I shall have no strength to repent. An I have not forgotten what the inside of a church is made of, I am a peppercorn, a brewer's horse: the inside of a church! Company, villanous company, hath been the spoil of me.
3.3.4	Sir John, you are so fretful, you cannot live long.
3.3.5	Why, there is it: come sing me a bawdy song; make me merry. I was as virtuously given as a gentleman need to be; virtuous enough; swore little; diced not above seven times a week; went to a bawdy-house not above once in a quarter—of an hour; paid money that I borrowed, three or four times; lived well and in good compass: and now I live out of all order, out of all compass.
3.3.6	Why, you are so fat, Sir John, that you must needs be out of all compass, out of all reasonable compass, Sir John.
3.3.7	Do thou amend thy face, and I'll amend my life: thou art our admiral, thou bearest the lantern in the poop, but 'tis in the nose of thee; thou art the Knight of the Burning Lamp.
3.3.8	Why, Sir John, my face does you no harm.
3.3.9	No, I'll be sworn; I make as good use of it as many a man doth of a Death's- head or a memento mori: I never see thy face but I think upon hell-fire and Dives that lived in purple; for there he is in his robes, burning, burning. If thou wert any way given to virtue, I would swear by thy face; my oath should be 'By this fire, that's God's angel:' but thou art altogether given over; and wert indeed, but for the light in thy face, the son of utter darkness. When thou rannest up Gadshill in the night to catch my horse, if I did not think thou hadst been an ignis fatuus or a ball of wildfire, there's no purchase in money. O, thou art a perpetual triumph, an everlasting bonfire-light! Thou hast saved me a thousand marks in links and torches, walking with thee in the night betwixt tavern and tavern: but the sack that thou hast drunk me would have bought me lights as good cheap at the dearest chandler's in Europe. I have maintained that salamander of yours with fire any time this two and thirty years; God reward me for it!
3.3.10	'Sblood, I would my face were in your belly!
3.3.11	God-a-mercy! so should I be sure to be heart-burned. Enter HOSTESS. How now, Dame Parlet the hen! have you inquired yet who picked my pocket?
3.3.12	Why, Sir John, what do you think, Sir John? do you think I keep thieves in my house? I have searched, I have inquired, so has my husband, man by man, boy by boy, servant by servant: the tithe of a hair was never lost in my house before.
3.3.13	Ye lie, hostess: Bardolph was shaved and lost many a hair; and I'll be sworn my pocket was picked. Go to, you are a woman, go.
3.3.14	Who, I? no; I defy thee: God's light, I was never called so in mine own house before.
3.3.15	Go to, I know you well enough.
3.3.16	No, Sir John; you do not know me, Sir John. I know you, Sir John: you owe me money, Sir John; and now you pick a quarrel to beguile me of it: I bought you a dozen of shirts to your back.
3.3.17	Dowlas, filthy dowlas: I have given them away to bakers' wives, and they have made bolters of them.
3.3.18	Now, as I am a true woman, holland of eight shillings an ell. You owe money here besides, Sir John, for your diet and by-drinkings, and money lent you, four and twenty pound.
3.3.19	He had his part of it; let him pay.
3.3.20	He alas, he is poor; he hath nothing.
3.3.21	How! poor? look upon his face; what call you rich? let them coin his nose, let them coin his cheeks: I'll not pay a denier. What, will you make a younker of me? shall I not take mine ease in mine inn but I shall have my pocket picked? I have lost a seal-ring of my grandfather's worth forty mark.
3.3.22	O Jesu, I have heard the prince tell him, I know not how oft, that that ring was copper!
3.3.23	How! the prince is a Jack, a sneakcup: 'sblood, an he were here, I would cudgel him like a dog, if he would say so. Enter the PRINCE and PETO, marching, and FALSTAFF meets them playing on his truncheon cheon like a fife. How now, lad! is the wind in that door, i' faith? must we all march?
3.3.24	Yea, two and two, Newgate fashion.
3.3.25	My lord, I pray you, hear me.
3.3.26	What sayest thou, Mistress Quickly ? How doth thy husband? I love him well; he is an honest man.
3.3.27	Good my lord, hear me.
3.3.28	Prithee, let her alone, and list to me.
3.3.29	What sayest thou, Jack?
3.3.30	The other night I fell asleep here behind the arras and had my pocket picked: this house is turned bawdy-house; they pick pockets.
3.3.31	What didst thou lose, Jack?
3.3.32	Wilt thou believe me, Hal? three or four bonds of forty pound a-piece, and a seal-ring of my grandfather's.
3.3.33	A trifle, some eight-penny matter.
3.3.34	So I told him, my lord; and I said I heard your grace say so: and, my lord, he speaks most vilely of you, like a foul-mouthed man as he is; and said he would cudgel you.
3.3.35	What! he did not?
3.3.36	There's neither faith, truth, nor womanhood in me else.
3.3.37	There's no more faith in thee than in a stewed prune; nor no more truth in thee than in a drawn fox; and for womanhood, Maid Marian may be the deputy's wife of the ward to thee. Go, you thing, go.
3.3.38	Say, what thing? what thing?
3.3.39	What thing! why, a thing to thank God on.
3.3.40	I am no thing to thank God on, I would thou shouldst know it; I am an honest man's wife: and, setting thy knighthood aside, thou art a knave to call me so.
3.3.41	Setting thy womanhood aside, thou art a beast to say otherwise.
3.3.42	Say, what beast, thou knave, thou?
3.3.43	What beast! why, an otter.
3.3.44	An otter, Sir John! why an otter?
3.3.45	Why, she's neither fish nor flesh; a man knows not where to have her.
3.3.46	Thou art an unjust man in saying so: thou or any man knows where to have me, thou knave, thou!
3.3.47	Thou sayest true, hostess; and he slanders thee most grossly.
3.3.48	So he doth you, my lord; and said this other day you ought him a thousand pound.
3.3.49	Sirrah, do I owe you a thousand pound?
3.3.50	A thousand pound, Hal! a million: thy love is worth a million: thou owest me thy love.
3.3.51	Nay, my lord, he called you Jack, and said he would cudgel you.
3.3.52	Did I, Bardolph?
3.3.53	Indeed, Sir John, you said so.
3.3.54	Yea, if he said my ring was copper.
3.3.55	I say 'tis copper: darest thou be as good as thy word now?
3.3.56	Why, Hal, thou knowest, as thou art but man, I dare: but as thou art prince, I fear thee as I fear the roaring of the lion's whelp.
3.3.57	And why not as the lion?
3.3.58	The king himself is to be feared as the lion: dost thou think I'll fear thee as I fear thy father? nay, an I do, I pray God my girdle break.
3.3.59	O, if it should, how would thy guts fall about thy knees! But, sirrah, there's no room for faith, truth, nor honesty in this bosom of thine; it is all filled up with guts and midriff. Charge an honest woman with picking thy pocket! why, thou whoreson, impudent, embossed rascal, if there were anything in thy pocket but tavern-reckonings, memorandums of bawdy-houses, and one poor penny-worth of sugar-candy to make thee long-winded, if thy pocket were enriched with any other injuries but these, I am a villain: and yet you will stand to it; you will not pocket up wrong: art thou not ashamed?
3.3.60	Dost thou hear, Hal? thou knowest in the state of innocency Adam fell; and what should poor Jack Falstaff do in the days of villany? Thou seest I have more flesh than another man, and therefore more frailty. You confess then, you picked my pocket?
3.3.61	It appears so by the story.
3.3.62	Hostess, I forgive thee: go, make ready breakfast; love thy husband, look to thy servants, cherish thy guests: thou shalt find me tractable to any honest reason: thou seest I am pacified still. Nay, prithee, be gone. [Ex]it Hostess.] Now, Hal, to the news at court: for the robbery, lad, how is that answered?
3.3.63	O, my sweet beef, I must still be good angel to thee: the money is paid back again.
3.3.64	O, I do not like that paying back; 'tis a double labour.
3.3.65	I am good friends with my father and may do any thing.
3.3.66	Rob me the exchequer the first thing thou doest, and do it with unwashed hands too.
3.3.67	Do, my lord.
3.3.68	I have procured thee, Jack, a charge of foot.
3.3.69	I would it had been of horse. Where shall I find one that can steal well? O for a fine thief, of the age of two and twenty or thereabouts! I am heinously unprovided. Well, God be thanked for these rebels, they offend none but the virtuous: I laud them, I praise them.
3.3.70	Bardolph!
3.3.71	My lord?
3.3.72	Go bear this letter to Lord John of Lancaster, to my brother John; this to my Lord of Westmoreland. [Ex]it Bardolph.] Go, Peto, to horse, to horse; for thou and I have thirty miles to ride yet ere dinner time. [Ex]it Peto.] Jack, meet me to-morrow in the temple hall at two o'clock in the afternoon. There shalt thou know thy charge; and there receive Money and order for their furniture. The land is burning; Percy stands on high; And either we or they must lower lie. [Ex]it.
3.3.73	Rare words! brave world! Hostess, my breakfast, come! O, I could wish this tavern were my drum! [Ex]it.
4.0.0	ACT IV
4.1.1	The rebel camp near Shrewsbury.
4.1.2	Enter HOTSPUR, WORCESTER, and DOUGLAS.
4.1.3	Well said, my noble Scot: if speaking truth In this fine age were not thought flattery, Such attribution should the Douglas have, As not a soldier of this season's stamp Should go so general current through the world. By God, I cannot flatter; I do defy The tongues of soothers; but a braver place In my heart's love hath no man than yourself: Nay, task me to my word; approve me, lord.
4.1.4	Thou art the king of honour: No man so potent breathes upon the ground But I will beard him.
4.1.5	Do so, and 'tis well. Enter a Messenger with letters. What letters hast thou there?—I can but thank you.
4.1.6	These letters come from your father.
4.1.7	Letters from him; why comes he not himself?
4.1.8	He cannot come, my lord; he is grievous sick.
4.1.9	'Zounds! how has he the leisure to be sick In such a justling time? Who leads his power? Under whose government come they along?
4.1.10	His letters bear his mind, not I, my lord.
4.1.11	I prithee, tell me, doth he keep his bed?
4.1.12	He did, my lord, four days ere I set forth; And at the time of my departure thence He was much fear'd by his physicians.
4.1.13	I would the state of time had first been whole Ere he by sickness had been visited: His health was never better worth than now.
4.1.14	Sick now! droop now! this sickness doth infect The very life-blood of our enterprise; 'Tis catching hither, even to our camp. He writes me here, that inward sickness- And that his friends by deputation could not So soon be drawn, nor did he think it meet To lay so dangerous and dear a trust On any soul removed but on his own. Yet doth he give us bold advertisement, That with our small conjunction we should on, To see how fortune is disposed to us; For, as he writes, there is no quailing now, Because the king is certainly possess'd Of all our purposes. What say you to it?
4.1.15	Your father's sickness is a maim to us.
4.1.16	A perilous gash, a very limb lopp'd off: And yet, in faith, it is not; his present want Seems more than we shall find it: were it good To set the exact wealth of all our states All at one cast? to set so rich a main On the nice hazard of one doubtful hour? It were not good; for therein should we read The very bottom and the soul of hope, The very list, the very utmost bound Of all our fortunes.
4.1.17	'Faith, and so we should; Where now remains a sweet reversion: We may boldly spend upon the hope of what Is to come in: A comfort of retirement lives in this.
4.1.18	A rendezvous, a home to fly unto, If that the devil and mischance look big Upon the maidenhead of our affairs.
4.1.19	But yet I would your father had been here. The quality and hair of our attempt Brooks no division: it will be thought By some, that know not why he is away, That wisdom, loyalty and mere dislike Of our proceedings kept the earl from hence: And think how such an apprehension May turn the tide of fearful faction And breed a kind of question in our cause; For well you know we of the offering side Must keep aloof from strict arbitrement, And stop all sight-holes, every loop from whence The eye of reason may pry in upon us: This absence of your father's draws a curtain, That shows the ignorant a kind of fear Before not dreamt of.
4.1.20	You strain too far. I rather of his absence make this use: It lends a lustre and more great opinion, A larger dare to our great enterprise, Than if the earl were here; for men must think, If we without his help can make a head To push against a kingdom, with his help We shall o'erturn it topsy-turvy down. Yet all goes well, yet all our joints are whole.
4.1.21	As heart can think: there is not such a word Spoke of in Scotland as this term of fear. Enter SIR RICHARD VERNON.
4.1.22	My cousin Vernon! welcome, by my soul.
4.1.23	Pray God my news be worth a welcome, lord. The Earl of Westmoreland, seven thousand strong, Is marching hitherwards; with him Prince John.
4.1.24	No harm: what more?
4.1.25	And further, I have learn'd, The king himself in person is set forth, Or hitherwards intended speedily, With strong and mighty preparation.
4.1.26	He shall be welcome too. Where is his son, The nimble-footed madcap Prince of Wales, And his comrades, that daff'd the world aside, And bid it pass?
4.1.27	All furnish'd, all in arms; All plumed like estridges that with the wind Baited like eagles having lately bathed; Glittering in golden coats, like images; As full of spirit as the month of May, And gorgeous as the sun at midsummer; Wanton as youthful goats, wild as young bulls. I saw young Harry, with his beaver on, His cuisses on his thighs, gallantly arm'd, Rise from the ground like feather'd Mercury, And vaulted with such ease into his seat, As if an angel dropp'd down from the clouds, To turn and wind a fiery Pegasus And witch the world with noble horsemanship.
4.1.28	No more, no more: worse than the sun in March, This praise doth nourish agues. Let them come; They come like sacrifices in their trim, And to the fire-eyed maid of smoky war All hot and bleeding will we offer them: The mailed Mars shall on his altar sit Up to the ears in blood. I am on fire To hear this rich reprisal is so nigh And yet not ours. Come, let me taste my horse, Who is to bear me like a thunderbolt Against the bosom of the Prince of Wales: Harry to Harry shall, hot horse to horse, Meet and ne'er part till one drop down a corse. O that Glendower were come!
4.1.29	There is more news: I learn'd in Worcester, as I rode along, He cannot draw his power this fourteen days.
4.1.30	That's the worst tidings that I hear of yet.
4.1.31	Ay, by my faith, that bears a frosty sound.
4.1.32	What may the king's whole battle reach unto?
4.1.33	To thirty thousand.
4.1.34	Forty let it be: My father and Glendower being both away, The powers of us may serve so great a day. Come, let us take a muster speedily: Doomsday is near; die all, die merrily.
4.1.35	Talk not of dying: I am out of fear Of death or death's hand for this one-half year. [Ex]eunt.
4.2.1	A public road near Coventry.
4.2.2	Enter FALSTAFF and BARDOLPH.
4.2.3	Bardolph, get thee before to Coventry; fill me a bottle of sack: our soldiers shall march through; we'll to Sutton Co'fil' tonight.
4.2.4	Will you give me money, captain?
4.2.5	Lay out, lay out.
4.2.6	This bottle makes an angel.
4.2.7	An if it do, take it for thy labour; and if it make twenty, take them all; I'll answer the coinage. Bid my lieutenant Peto meet me at town's end.
4.2.8	I will, captain: farewell. [Ex]it.
4.2.9	If I be not ashamed of my soldiers, I am a soused gurnet. I have misused the king's press damnably. I have got, in exchange of a hundred and fifty soldiers, three hundred and odd pounds. I press me none but good householders, yeomen's sons; inquire me out contracted bachelors, such as had been asked twice on the banns; such a commodity of warm slaves, as had as lieve hear the devil as a drum; such as fear the report of a caliver worse than a struck fowl or a hurt wild-duck. I pressed me none but such toasts-and-butter, with hearts in their bellies no bigger than pins' heads, and they have bought out their services; and now my whole charge consists of ancients, corporals, lieutenants, gentlemen of companies, slaves as ragged as Lazarus in the painted cloth, where the glutton's dogs licked his sores; and such as indeed were never soldiers, but discarded unjust serving-men, younger sons to younger brothers, revolted tapsters and ostlers trade-fallen, the cankers of a calm world and a long peace, ten times more dishonourable ragged than an old faced ancient: and such have I, to fill up the rooms of them that have bought out their services, that you would think that I had a hundred and fifty tattered prodigals lately come from swine-keeping, from eating draff and husks. A mad fellow met me on the way and told me I had unloaded all the gibbets and pressed the dead bodies. No eye hath seen such scarcecrows. I'll not march through Coventry with them, that's flat: nay, and the villains march wide betwixt the legs, as if they had gyves on; for indeed I had the most of them out of prison. There's but a shirt and a half in all my company; and the half shirt is two napkins tacked together and thrown over the shoulders like a herald's coat without sleeves; and the shirt, to say the truth, stolen from my host at Saint Alban's, or the red-nose innkeeper of Daventry. But that's all one; they'll find linen enough on every hedge. Enter the PRINCE and WESTMORELAND.
4.2.10	How now, blown Jack! how now, quilt!
4.2.11	What, Hal! how now, mad wag! what a devil dost thou in Warwickshire? My good Lord of Westmoreland, I cry you mercy: I thought your honour had already been at Shrewsbury.
4.2.12	Faith, Sir John, 'tis more than time that I were there, and you too; but my powers are there already. The king, I can tell you, looks for us all: we must away all night.
4.2.13	Tut, never fear me: I am as vigilant as a cat to steal cream.
4.2.14	I think, to steal cream indeed, for thy theft hath already made thee butter. But tell me, Jack, whose fellows are these that come after?
4.2.15	Mine, Hal, mine.
4.2.16	I did never see such pitiful rascals.
4.2.17	Tut, tut; good enough to toss; food for powder, food for powder; they'll fill a pit as well as better: tush, man, mortal men, mortal men.
4.2.18	Ay, but, Sir John, methinks they are exceeding poor and bare, too beggarly.
4.2.19	'Faith, for their poverty, I know not where they had that; and for their bareness, I am sure they never learned that of me.
4.2.20	No, I'll be sworn; unless you call three fingers on the ribs bare. But, sirrah, make haste: Percy is already in the field.
4.2.21	What, is the king encamped?
4.2.22	He is, Sir John: I fear we shall stay too long.
4.2.23	Well, To the latter end of a fray and the beginning of a feast Fits a dull fighter and a keen guest. [Ex]eunt.
4.3.1	The rebel camp near Shrewsbury.
4.3.2	Enter HOTSPUR, WORCESTER, DOUGLAS, and VERNON.
4.3.3	We'll fight with him to-night.
4.3.4	It may not be.
4.3.5	You give him then advantage.
4.3.6	Not a whit.
4.3.7	Why say you so? looks he not for supply?
4.3.8	So do we.
4.3.9	His is certain, ours is doubtful.
4.3.10	Good cousins, be advised; stir not to-night.
4.3.11	Do not, my lord.
4.3.12	You do not counsel well: You speak it out of fear and cold heart.
4.3.13	Do me no slander, Douglas: by my life, And I dare well maintain it with my life, If well-respected honour bid me on, I hold as little counsel with weak fear As you my lord, or any Scot that this day lives: Let it be seen to-morrow in the battle Which of us fears.
